,count
Biology,116
Mathematics,109
Chemistry,108
Physical Education,101
Computer Science,81
Physics,77
Psychology,73
Economics,59
Spanish,59
Music,54
Dance,49
Biochemistry and Molecular Biology,44
Political Science,43
History,41
Philosophy,39
Educational Studies,38
Environmental Studies,37
English Literature,35
Engineering,35
English,31
Chinese,29
French and French Studies,28
Theater,27
Linguistics,26
Sociology,26
East Asian Languages and Cultures,23
Fine Arts,20
Religion,20
Russian,19
Dance - Arts Program,19
Visual Studies,19
French,18
Health Studies,18
Classical Studies,17
Astronomy,16
History of Art,15
"Peace, Justice and Human Rights",15
Sociology & Anthropology,14
Peace and Conflict Studies,14
Writing Program,13
Education,13
Statistics,13
Geology,13
Latin,12
Theater - Arts Program,11
Neuroscience,11
Praxis Program,11
Greek,11
International Studies,11
Gender and Sexuality Studies,11
Anthropology,11
Italian and Italian Studies,10
German Studies,10
Comparative Literature,10
Art Studio,10
"Latin American, Iberian and Latina/o Studies",9
Japanese,9
Biophysics,9
German,8
Growth and Structure of Cities,8
Creative Writing-Arts Program,8
Film and Media Studies,7
Art History,6
Independent College Programs,6
Child and Family Studies,6
Classical Culture and Society,6
Literature,5
Writing Program Bryn Mawr College,4
Africana Studies,4
Japanese - BiCo,4
Off Campus Study,4
Classical and Near Eastern Archaeology,4
Black Studies,3
Scientific Computing,3
Museum Studies,2
Cognitive Science,2
Latin American&Latino Studies,2
Middle Eastern Islamic Studies,2
Arabic,2
Social Work and Social Research,2
Global Studies,1
General Studies,1
Islamic Studies,1
Villanova University,1
Data Science,1
Middle Eastern Studies,1
Film Studies,1
Asian Studies,1
Geoarchaeology,1
