url,campus,semester,title,credit,department,instructor,times,room,additional_info,misc_links
https://www.haverford.edu//academics/single?id=BANTHB101001d&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro Anthropology: Bio & Arch,1.00,Anthropology,"Seselj,MajaBarrier,Casey R.","TTh 12:55pm-02:15pm
",,"Class Number: 1218
An introduction to the place of humans in nature, evolutionary theory, living primates, the fossil record for human evolution, human variation and the issue of race, and the archaeological investigation of culture change from the Old Stone Age to the rise of early agricultural societies in the Americas, Eurasia and Africa. In addition to the lecture/discussion classes, students must select and sign up for one lab section.
Approach: Inquiry into the Past (IP), Scientific Investigation (SI);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
Enrollment Cap: 35; Freshmen Spaces: 15;  If the course exceeds the
enrollment cap the following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB101002&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro Anthropology: Bio & Arch,1.00,Anthropology,"Barrier,Casey R.Seselj,Maja","TTh 02:25pm-03:45pm
",,"Class Number: 2606
An introduction to the place of humans in nature, evolutionary theory, living primates, the fossil record for human evolution, human variation and the issue of race, and the archaeological investigation of culture change from the Old Stone Age to the rise of early agricultural societies in the Americas, Eurasia and Africa. In addition to the lecture/discussion classes, students must select and sign up for one lab section.
Approach: Inquiry into the Past (IP), Scientific Investigation (SI);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
Enrollment Cap: 35; Freshmen Spaces: 15;  If the course exceeds the
enrollment cap the following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB10100Ad&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro Anthropology: Bio & Arch,0.00,Anthropology,"Seselj,Maja","T 11:25am-12:45pm
",,"Class Number: 1219
An introduction to the place of humans in nature, evolutionary theory, living primates, the fossil record for human evolution, human variation and the issue of race, and the archaeological investigation of culture change from the Old Stone Age to the rise of early agricultural societies in the Americas, Eurasia and Africa. In addition to the lecture/discussion classes, students must select and sign up for one lab section.
Approach: Inquiry into the Past (IP), Scientific Investigation (SI);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
 Enrollment Cap: 17;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB10100Bd&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro Anthropology: Bio & Arch,0.00,Anthropology,"Seselj,Maja","T 04:10pm-05:30pm
",,"Class Number: 1220
An introduction to the place of humans in nature, evolutionary theory, living primates, the fossil record for human evolution, human variation and the issue of race, and the archaeological investigation of culture change from the Old Stone Age to the rise of early agricultural societies in the Americas, Eurasia and Africa. In addition to the lecture/discussion classes, students must select and sign up for one lab section.
Approach: Inquiry into the Past (IP), Scientific Investigation (SI);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
 Enrollment Cap: 17;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB10100Cd&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro Anthropology: Bio & Arch,0.00,Anthropology,"Seselj,Maja","W 01:10pm-02:30pm
",,"Class Number: 1221
An introduction to the place of humans in nature, evolutionary theory, living primates, the fossil record for human evolution, human variation and the issue of race, and the archaeological investigation of culture change from the Old Stone Age to the rise of early agricultural societies in the Americas, Eurasia and Africa. In addition to the lecture/discussion classes, students must select and sign up for one lab section.
Approach: Inquiry into the Past (IP), Scientific Investigation (SI);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
 Enrollment Cap: 17;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB10100Dd&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro Anthropology: Bio & Arch,0.00,Anthropology,"Seselj,Maja","W 02:40pm-04:00pm
",,"Class Number: 1222
An introduction to the place of humans in nature, evolutionary theory, living primates, the fossil record for human evolution, human variation and the issue of race, and the archaeological investigation of culture change from the Old Stone Age to the rise of early agricultural societies in the Americas, Eurasia and Africa. In addition to the lecture/discussion classes, students must select and sign up for one lab section.
Approach: Inquiry into the Past (IP), Scientific Investigation (SI);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
 Enrollment Cap: 17;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB102001s&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Intro to Cultural Anthropology,1.00,International Studies,"Pashigian,Melissa","TTh 09:55am-11:15am
",,"Class Number: 1223
An introduction to the methods and theories of cultural anthropology in order to understand and explain cultural similarities and differences among contemporary societies.
Approach: Cross-Cultural Analysis (CC);  Haverford: B: Analysis of the Social World (B), Social Science (SO)
Enrollment Cap: 25; Freshmen Spaces: 15;  If the course exceeds the
enrollment cap the following criteria will be used for the lottery:
Major/Minor/Concentration; Freshman; Sophomore","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB239001a&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,Anthropology of Media,1.00,Gender and Sexuality Studies,"Weidman,Amanda","MW 02:40pm-04:00pm
",,"Class Number: 1225
Life throughout much of the world today is saturated by forms of media and media technologies: films, television, radio, cell phones, the internet and social media. This course examines media from an anthropological perspective, focusing on the impact of these various non-print media on social and political life. We will also explore the distinctive properties of two media phenomena specific to our time: reality TV and social media. Throughout, we will be concerned with the constitutive power of media at two levels: first, in the construction of subjectivity, senses of self, and the production of affect; and second, in collective social and political projects, such as building national identity, consolidating or resisting state power, giving voice to indigenous claims, or creating alliances.
Approach: Cross-Cultural Analysis (CC);  Haverford: Social Science (SO)  ( )
Enrollment Cap: 25;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery: Major/Minor/Concentration;","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB283001a&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,The Living Primates,1.00,Anthropology,"Seselj,Maja","TTh 09:55am-11:15am
",,"Class Number: 1226
This course provides a comprehensive review of the order Primates, focusing on morphology, biological adaptations, and behavioral diversity characterizing non-human primates. First, we will investigate the morphological traits that characterize major primate groups, and their evolutionary history. As many primate taxa are endangered or vulnerable to extinction, we will explore the approaches and challenges to primate conservation. In the second half of the course, we will focus on primate socioecology, examining how different environments influence primate distribution and social relationships. We will then delve further into primate behavior and cognition, examining interpersonal relationships, social dynamics, communication strategies, and learning modes. In doing this, we will address the questions concerning the recognition and definition of culture, self-awareness, and personhood among non-human primates using a comparative perspective. Prerequisites:  ANTH B101 or permission of the instructor
Approach: Course does not meet an Approach;  Haverford: Social Science (SO)  ( )
 Enrollment Cap: 25;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery:
Major/Minor/Concentration; Optional zoo trip $35 (transport and admission)","Departmental Homepage
Book Prices
"
https://www.haverford.edu//academics/single?id=BANTHB303001d&semester=fall_2019&college=bryn_mawr&orig_semester%5B0%5D=fall_2019&orig_college%5B0%5D=bryn_mawr&orig_college%5B1%5D=haverford&orig_college%5B2%5D=swarthmore&orig_page=1&orig_per_page=50,Bryn Mawr,Fall 2019,History Anthropological Theory,1.00,Anthropology,"Fioratta,Susanna","F 01:10pm-03:30pm
",,"Class Number: 1227
A consideration of the history of anthropological theories and the discipline of anthropology as an academic discipline that seeks to understand and explain society and culture as its subjects of study. Several vantage points on the history of anthropological theory are engaged to enact an historically charged anthropology of a disciplinary history. Anthropological theories are considered not only as a series of models, paradigms, or orientations, but as configurations of thought, technique, knowledge, and power that reflect the ever-changing relationships among the societies and cultures of the world. This course qualifies as completion of the writing requirement.  Prerequisite: ANTH B102/ANTH H103 and at least one additional anthropology course at the 200 or 300 level.
Approach: Writing Intensive;  Haverford: B: Analysis of the Social World (B), Social Science (SO)
 Enrollment Cap: 15;  If the course exceeds the enrollment cap the
following criteria will be used for the lottery:
Major/Minor/Concentration; Writing Intensive","Departmental Homepage
Book Prices
"
