"title","count(title)"
"ET/2",23791
"SVM/1",22420
"QVE",18049
"QVI/1",17680
"IN",14105
"HIC/1",8756
"NON",8581
"IS",7460
"TV",6789
"AD/2",6101
"EGO",6013
"VT/4",5918
"ILLE",5641
"QVIS/1",5491
"OMNIS",5222
"NEQVE",4910
"SVI/1",4901
"SED",4436
"AB",4317
"SI/2",4160
"CVM/3",3963
"ATQVE/1",3923
"POSSVM/1",3848
"SVVS",3696
"IPSE",3574
"VIDEO",3542
"EX",3519
"CVM/2",3378
"FACIO",3338
"DICO/2",3262
"DE",3006
"PER",2896
"IAM",2844
"RES",2792
"MAGNVS",2776
"DO",2773
"HABEO",2592
"MVLTVS",2557
"MEVS",2412
"AVT",2372
"TVVS",2207
"DEVS",2047
"ALIVS",2003
"QVAM/1",1965
"NE/4",1962
"VOLO/3",1927
"VENIO",1839
"ETIAM",1833
"ENIM/2",1806
"VNVS",1789
"TVM",1761
"HOMO",1744
"TAMEN",1743
"PARS",1699
"FERO",1663
"CORPVS",1643
"NAM",1606
"SIC",1575
"NOSTER",1557
"TERRA",1547
"AC/1",1539
"ANIMVS",1534
"TANTVS",1523
"LOCVS",1513
"NIHIL",1495
"DIES",1474
"NVNC",1467
"EO/1",1461
"NVLLVS",1458
"MANVS/1",1456
"TOTVS",1448
"QVOD/1",1424
"BONVS",1423
"ISTE",1419
"IDEM",1346
"TEMPVS/1",1342
"NOS",1332
"INTER",1284
"VEL/1",1267
"AT/2",1242
"DOMVS",1241
"VIR",1237
"PATER",1200
"AGO",1189
"VBI/1",1161
"BELLVM",1153
"CAVSA",1151
"ROMANVS/A",1136
"MITTO",1115
"ITA",1110
"DVM/2",1092
"QVOQVE",1080
"QVIDAM",1075
"VRBS",1069
"NOMEN",1064
"PETO",1058
"PRO/1",1057
"TAM",1052
"REDEO/1",1041
"REX",1041
"AVTEM",1033
"PRIMVS",1028
"AVDIO",999
"LONGVS",985
"MATER",983
"HOSTIS",973
"PVER",972
"VIS",968
"NEC/2",961
"PARVVS/2",960
"QVIDEM",956
"O",954
"FIO",951
"PVTO",937
"ANTE/2",937
"POPVLVS/1",936
"IVBEO",936
"INQVIO",935
"SOLVS",905
"SVB",887
"NISI",887
"QVAERO",881
"ARMA",875
"SINE",873
"VOX",870
"VERO/3",870
"CAESAR/N",868
"ALIQVIS",865
"CREDO",854
"ACCIPIO",846
"PRIOR",845
"OS/1",843
"SAEPE",840
"VITA",839
"POST/2",838
"ANNVS",836
"NOX",833
"CAELVM/1",829
"TENEO",823
"NATVRA",817
"TALIS",814
"DVCO",807
"SEMPER",803
"MORS",801
"ALTER",797
"RATIO",791
"SEQVOR",783
"NOVVS",779
"GENVS/1",774
"VIRTVS",769
"MODVS",769
"MEDIVS",766
"QVISQVE/2",762
"SCIO",758
"AMOR",758
"CAPIO/2",747
"RELINQVO",745
"SVPERVS",742
"CAPVT",741
"PONO",741
"CETERVS",736
"QVIA",731
"IGNIS",730
"VOCO",727
"MENS",723
"DEBEO",716
"GERO",714
"ERGO/2",713
"DVO",706
"FILIVS",704
"IGITVR",698
"VINCO",695
"VIVO",688
"OCVLVS",687
"MOVEO",687
"VERBVM",674
"CERTVS",668
"MILES",667
"CONSILIVM",661
"MAGIS/2",649
"AN",649
"MARE",648
"IRA",646
"AMICVS/2",637
"COGNOSCO",637
"DOMINVS",636
"MALVS/3",636
"CONTRA/2",636
"NASCOR",635
"GRAVIS",634
"AQVA",632
"MOS",632
"VERVS",628
"CASTRA/2",621
"REFERO",620
"SOL",618
"PARO/2",617
"QVANTVS/1",615
"SENTIO",610
"VLLVS",607
"CIVITAS",606
"AMO",592
"CVNCTVS",592
"PECTVS",586
"IVPPITER/N",584
"QVIS/2",582
"LOQVOR",582
"PES",581
"EQVVS",578
"ALTVS",577
"REDDO",576
"FRATER",573
"FORTVNA",571
"VIA",571
"MILLE",567
"GENS",566
